"id","year","rosenberg","rosenberg_inp","dum_35_inp","dum_40_inp","dum_45_inp"
800552,2014,59,59,0,0,0
800552,2015,NA,59,0,0,0
800552,2016,NA,59,0,0,0
800552,2017,56,56,0,0,0
800561,2008,54,54,0,0,0
800561,2009,48,48,0,0,0
800561,2010,NA,48,0,0,0
800561,2011,56,56,0,0,0
800561,2012,NA,56,0,0,0
800561,2013,47,47,0,0,0
800561,2014,61,61,0,0,0
800561,2015,NA,61,0,0,0
800561,2016,NA,61,0,0,0
800561,2017,41,41,0,0,1
800561,2018,NA,41,0,0,1
800561,2019,37,37,0,1,1
800561,2020,48,48,0,0,0
800561,2021,48,48,0,0,0
800561,2022,35,35,1,1,1
800570,2014,56,56,0,0,0
800570,2015,NA,56,0,0,0
800570,2016,NA,56,0,0,0
800570,2017,59,59,0,0,0
800570,2018,NA,59,0,0,0
800570,2019,59,59,0,0,0
800570,2020,61,61,0,0,0
800570,2021,56,56,0,0,0
800570,2022,57,57,0,0,0
800571,2022,52,52,0,0,0
800573,2014,65,65,0,0,0
800573,2015,NA,65,0,0,0
800573,2016,NA,65,0,0,0
800573,2017,61,61,0,0,0
800573,2018,NA,61,0,0,0
800573,2019,56,56,0,0,0
800573,2020,45,45,0,0,1
800573,2021,61,61,0,0,0
800575,2022,70,70,0,0,0
800576,2011,60,60,0,0,0
800582,2014,36,36,0,1,1
800585,2008,52,52,0,0,0
800585,2009,57,57,0,0,0
800585,2010,NA,57,0,0,0
800585,2011,NA,57,0,0,0
800585,2012,NA,57,0,0,0
800585,2013,59,59,0,0,0
800585,2014,NA,59,0,0,0
800585,2015,52,52,0,0,0
800585,2016,NA,52,0,0,0
800585,2017,46,46,0,0,0
800601,2008,61,61,0,0,0
800601,2009,62,62,0,0,0
800601,2010,NA,62,0,0,0
800601,2011,63,63,0,0,0
800601,2012,NA,63,0,0,0
800601,2013,NA,63,0,0,0
800601,2014,60,60,0,0,0
800607,2008,60,60,0,0,0
800607,2009,62,62,0,0,0
800607,2010,NA,62,0,0,0
800607,2011,57,57,0,0,0
800607,2012,NA,57,0,0,0
800607,2013,62,62,0,0,0
800611,2022,40,40,0,1,1
800616,2010,64,64,0,0,0
800616,2011,57,57,0,0,0
800631,2017,45,45,0,0,1
800637,2008,51,51,0,0,0
800637,2009,62,62,0,0,0
800637,2010,NA,62,0,0,0
800637,2011,63,63,0,0,0
800637,2012,NA,63,0,0,0
800637,2013,NA,63,0,0,0
800637,2014,64,64,0,0,0
800637,2015,NA,64,0,0,0
800637,2016,NA,64,0,0,0
800637,2017,68,68,0,0,0
800637,2018,NA,68,0,0,0
800637,2019,67,67,0,0,0
800637,2020,64,64,0,0,0
800640,2010,45,45,0,0,1
800643,2010,57,57,0,0,0
800643,2011,53,53,0,0,0
800643,2012,NA,53,0,0,0
800643,2013,56,56,0,0,0
800643,2014,52,52,0,0,0
800650,2008,68,68,0,0,0
800656,2014,55,55,0,0,0
800659,2008,59,59,0,0,0
800659,2009,59,59,0,0,0
800659,2010,NA,59,0,0,0
800659,2011,56,56,0,0,0
800659,2012,NA,56,0,0,0
800659,2013,57,57,0,0,0
800659,2014,56,56,0,0,0
800659,2015,NA,56,0,0,0
800659,2016,NA,56,0,0,0
800659,2017,60,60,0,0,0
800659,2018,NA,60,0,0,0
800659,2019,57,57,0,0,0
800659,2020,54,54,0,0,0
800659,2021,56,56,0,0,0
800659,2022,54,54,0,0,0
800665,2017,52,52,0,0,0
800665,2018,NA,52,0,0,0
800665,2019,59,59,0,0,0
800665,2020,NA,59,0,0,0
800671,2008,60,60,0,0,0
800671,2009,59,59,0,0,0
800671,2010,NA,59,0,0,0
800671,2011,61,61,0,0,0
800671,2012,NA,61,0,0,0
800671,2013,60,60,0,0,0
800671,2014,46,46,0,0,0
800671,2015,NA,46,0,0,0
800671,2016,NA,46,0,0,0
800671,2017,46,46,0,0,0
800671,2018,NA,46,0,0,0
800671,2019,52,52,0,0,0
800671,2020,58,58,0,0,0
800671,2021,54,54,0,0,0
800671,2022,54,54,0,0,0
800674,2008,57,57,0,0,0
800674,2009,57,57,0,0,0
800674,2010,NA,57,0,0,0
800674,2011,50,50,0,0,0
800674,2012,NA,50,0,0,0
800674,2013,58,58,0,0,0
800674,2014,59,59,0,0,0
800674,2015,NA,59,0,0,0
800674,2016,NA,59,0,0,0
800674,2017,57,57,0,0,0
800674,2018,NA,57,0,0,0
800674,2019,56,56,0,0,0
800674,2020,53,53,0,0,0
800674,2021,54,54,0,0,0
800674,2022,51,51,0,0,0
800677,2013,52,52,0,0,0
800677,2014,63,63,0,0,0
800677,2015,NA,63,0,0,0
800677,2016,NA,63,0,0,0
800677,2017,62,62,0,0,0
800677,2018,NA,62,0,0,0
800677,2019,69,69,0,0,0
800677,2020,69,69,0,0,0
800677,2021,68,68,0,0,0
800677,2022,67,67,0,0,0
800683,2018,47,47,0,0,0
800683,2019,53,53,0,0,0
800695,2008,65,65,0,0,0
800695,2009,60,60,0,0,0
800695,2010,NA,60,0,0,0
800695,2011,NA,60,0,0,0
800695,2012,62,62,0,0,0
800695,2013,64,64,0,0,0
800695,2014,66,66,0,0,0
